,Publication.Link,Title,Cited.By,Cited.By.Link,X_LLM_Title,X_LLM_Journal,X_LLM_Publisher,X_LLM_Year,X_LLM_Authors,X_LLM_Affiliations,X_LLM_Abstract,X_LLM_Keywords,X_LLM_Funders,X_LLM_Study_Area,X_LLM_Methods,child_authors_and_venue,child_year_guess,child_snippet,child_pdf_link,child_position,X_LLM_SourceUsed,X_LLM_DOI,X_LLM_Authors_Clean,X_LLM_Authors_IDs,X_LLM_Authors_Parsed,Publisher,pub_id,parent_pub_id,NEW_AUTHORS,Notes
11,https://www.researchgate.net/profile/Sara-Van-Ningen/publication/341522083_A_exploration_of_dynamic_fossil_suitability_models/links/5ec551b7458515626cba11f6/A-exploration-of-dynamic-fossil-suitability-models.pdf,An exploration of dynamic fossil suitability models,NA,NA,An exploration of dynamic fossil suitability models,NA,ResearchGate (hosted copy),NA,NDL Vegetation-raster; NDGIS Hub; ENDGIS Hub,NA,An exploration of dynamic fossil suitability models Page 1 I would also like to acknowledge the Global Biodiversity Information Facility and contributing museums and institutes for …,NA,NA,NA,NA,"NDL Vegetation-raster, NDGIS Hub, ENDGIS Hub… - researchgate.net",2020,An exploration of dynamic fossil suitability models Page 1 I would also like to acknowledge the Global Biodiversity Information Facility and contributing museums and institutes for …,https://www.researchgate.net/profile/Sara-Van-Ningen/publication/341522083_A_exploration_of_dynamic_fossil_suitability_models/links/5ec551b7458515626cba11f6/A-exploration-of-dynamic-fossil-suitability-models.pdf,9,FromColumns,NA,"Vegetation-raster, N. D. L.; Hub, N. D. G. I. S.; Hub, E. N. D. G. I. S.",,,ResearchGate,578,1,"Ningen, Sara Van",Remove existing authors and added new author
12,https://flowarchive.com/hurricaneharvey/bbfieldguide7,"THE NEXT STORM IS COMING, WHAT ARE WE GOING TO DO TO LIVE WITH IT?",NA,NA,"Flood, adjust, recovery: Flow archives of Hurricane Harvey, Buffalo Bayou, Houston, Texas",Gulf Coast Association of Geological Societies Transactions,NA,2019,K. P. Kendall; S. Meyer; A. Roesch; A. Stearns; C. Ramon; J. J. Kendall,Buffalo Bayou Partnership; University of Houston; United Way of Greater Houston,NA,NA,AAPG Foundation; City of Houston; Houston Arts Alliance,"Buffalo Bayou, Houston, Texas",NA,"B Bayou, SP Sculptures, BBH Hike, R Grande - flowarchive.com",2024,"The sand peel sculptures are the geologic archive of multiple storm events in Buffalo Bayou. They record the rise of the flood, the waning of energy and deposition of sediment during the …",NA,10,URL:html,NA,"Kendall, Katharine P.; Meyer, S.; Roesch, A.; Stearns, A.; Ramon, C.; Kendall, Jerome J.",,,NA,579,1,Buffalo Bayou Hurricane Hike,"Remove existing authors which are from works cited, added organizational author (Buffalo Bayou Hurricane Hike), Added child_year_guess"
13,https://www.researchgate.net/profile/Sara-Van-Ningen/publication/339313776_An_exploration_and_assessment_of_bias_within_fossil_prediction_models_using_geographic_information_systems_and_geostatistical_tools_EBK_Regression_Prediction_Model/links/5e4ae5c2299bf1cdb933a5e6/An-exploration-and-assessment-of-bias-within-fossil-prediction-models-using-geographic-information-systems-and-geostatistical-tools-EBK-Regression-Prediction-Model.pdf,An exploration and assessment of bias within fossil prediction models using geographic information systems and geostatistical tools EBK Regression Prediction Model,NA,NA,An exploration and assessment of bias within fossil prediction models using geographic information systems and geostatistical tools,NA,ResearchGate (hosted copy),NA,EBKRP Model,NA,"The success of fossil prediction models often varies, likely due to inherent bias and pseudoabsence and pseudo-presence. These are known as: spatial, temporal, absence …",NA,NA,NA,NA,EBKRP Model - researchgate.net,2020,"The success of fossil prediction models often varies, likely due to inherent bias and pseudoabsence and pseudo-presence. These are known as: spatial, temporal, absence …",https://www.researchgate.net/profile/Sara-Van-Ningen/publication/339313776_An_exploration_and_assessment_of_bias_within_fossil_prediction_models_using_geographic_information_systems_and_geostatistical_tools_EBK_Regression_Prediction_Model/links/5e4ae5c2299bf1cdb933a5e6/An-exploration-and-assessment-of-bias-within-fossil-prediction-models-using-geographic-information-systems-and-geostatistical-tools-EBK-Regression-Prediction-Model.pdf,11,FromColumns,NA,"Model, E. B. K. R. P.",,,ResearchGate,580,1,"Ningen, Sara Van","Completed Title, Removed existing authors and added new author, added child_year_guess"
14,https://scholarlypublications.universiteitleiden.nl/access/item%3A4107493/download,Environmental opportunities and challenges for IoT technologies in sustainable suppl chain operations: from industries to products,NA,NA,Environmental opportunities and challenges for IoT technologies in sustainable supply chain operations: from industries to products,NA,NA,2024,"Ding, S.T.",NA,NA,NA,NA,NA,NA,ST Ding - scholarlypublications …,2024,"18 Ding, S., Ward, H., Cucurachi, S., & Tukker, A.(2023). Revealing the hidden potentials of Internet of Things (IoT)-An integrated approach using agent-based modelling and system …",https://scholarlypublications.universiteitleiden.nl/access/item%3A4107493/download,2,URL:pdf,NA,"Ding, S. T.",296,"Ding, S.",NA,597,2,,"Fixed title, added child_year_guess"
15,https://www.researchgate.net/profile/Eleanor-Heptinstall/publication/389052093_The_recurring_influence_of_carbon_in_hydrothermal_mineralisation_in_the_Scottish_Caledonides/links/67ffe9c5bd3f1930dd5f8174/The-recurring-influence-of-carbon-in-hydrothermal-mineralisation-in-the-Scottish-Caledonides.pdf,The recurring influence of carbon in hydrothermal mineralisation in the Scottish Caledonides,NA,NA,The recurring influence of carbon in hydrothermal mineralisation in the Scottish Caledonides,NA,ResearchGate (hosted copy),NA,EA Heptinstall,NA,"Carbon associated hydrothermal mineralisation are well-documented in geological regimes worldwide, whether associated with mantle-derived fluids, the metamorphism of …",NA,NA,NA,NA,EA Heptinstall - researchgate.net,2024,"Carbon associated hydrothermal mineralisation are well-documented in geological regimes worldwide, whether associated with mantle-derived fluids, the metamorphism of …",https://www.researchgate.net/profile/Eleanor-Heptinstall/publication/389052093_The_recurring_influence_of_carbon_in_hydrothermal_mineralisation_in_the_Scottish_Caledonides/links/67ffe9c5bd3f1930dd5f8174/The-recurring-influence-of-carbon-in-hydrothermal-mineralisation-in-the-Scottish-Caledonides.pdf,4,FromColumns,NA,"Heptinstall, E. A.",491,"Heptinstall, E A",ResearchGate,599,2,,added child_year_guess
16,https://www.min-eng.com/criticalminerals24/drafts/session3/currie.pdf,"Characterisation of graphite-rich metasediments from Eastern Province, Zambia",NA,NA,"Characterisation of graphite-rich metasediments from Eastern Province, Zambia",NA,NA,2023,"D. Currie (British Geological Survey, Nottingham, UK); CJ Mitchell (British Geological Survey, Nottingham, UK)","British Geological Survey, Nottingham, UK; Geological Survey Department of Zambia; Copperbelt University","This study characterises graphite-rich metasediments from the Mvuvye River occurrences in Eastern Province, Zambia, focusing on the geological setting, sample collection, and analysis methods used to understand the mineralisation and potential industrial applications of the graphite.",graphite; metasediments; Zambia; geological survey; mineral analysis,BGS IGRD-RIC2 NEE9260NOD (NC) Critical Mineral Resources – Zambia,"Eastern Province, Zambia",optical microscopy; scanning electron microscopy (SEM); fieldwork; sample collection; geochemical analysis,"D Currie, CJ Mitchell - min-eng.com",2024,"Natural graphite (graphite hereafter) is a soft (around 1 on Mohs scale), opaque, sub-metallic black to steel-grey micaceous mineral and is the stable form of elemental carbon at …",https://www.min-eng.com/criticalminerals24/drafts/session3/currie.pdf,8,URL:pdf,NA,"Currie, D.; Mitchell, C. J.",255; 801,"Currie, D.; Mitchell, C J",NA,601,2,,added child_year_guess
17,https://geoconvention.com/wp-content/uploads/abstracts/2020/56142-global-critical-metal-resources-what-we-know-wha.pdf,"Global critical metal resources; what we know, what we need to know, and implications for the Canadian critical metal sector",NA,NA,"Global critical metal resources; what we know, what we need to know, and implications for the Canadian critical metal sector",NA,NA,NA,"Simon M. Jowitt (Department of Geoscience, University of Las Vegas, USA)","Department of Geoscience, University of Las Vegas, USA","The critical metals are crucial to our modern way of life and are used in key components that have permitted the development of numerous domestic, green and military high technology applications. However, these metals are also subject to issues surrounding the security of their supply, varying from geological and economic factors to technological evolution, the potential for substitutes, the environmental impacts related to extraction and processing, and the usage of these metals. Improving the security of supply of these metals can be approached in numerous ways, including the analysis of known mine supply chains to enable the economic extraction of critical metal by-products, the determination of the critical metal prospectivity of mining/mineral processing wastes, increased amounts of recycling, and the discovery of new and economic deposits of the critical metals. All of these approaches require more information in terms of mineral resource accounting, mineral economics, material flow analysis, mineral processing, as well as increased economic geology knowledge that would enable the making of future discoveries and increase the likelihood of critical metals being extracted as either primary or by-products. Without this information, significant parts of our knowledge base on the supply (and the security of this supply) of the critical metals will remain opaque.",NA,NA,Canada,NA,SM Jowitt - geoconvention.com,2020,"The critical metals are crucial to our modern way of life and are used in key components that have permitted the development of numerous domestic, green and military high technology …",https://geoconvention.com/wp-content/uploads/abstracts/2020/56142-global-critical-metal-resources-what-we-know-wha.pdf,11,URL:pdf,NA,"Jowitt, Simon M.",590,"Jowitt, Simon M.",NA,603,2,,added child_year_guess
18,https://www.researchgate.net/profile/Cihan-Yalcin-3/publication/361073492_YENI_NESIL_ENERJI_KAYNAKLARINDA_GRAFITIN_ONEMI_VE_KULLANIMI/links/629a610e6886635d5cbbb3aa/YENI-NESIL-ENERJI-KAYNAKLARINDA-GRAFITIN-OeNEMI-VE-KULLANIMI.pdf,THE IMPORTANCE AND USE OF GRAPHITE IN NEW GENERATION ENERGY SOURCES,NA,NA,YENİ NESİL ENERJİ KAY-NAKLARINDA GRAFİTİN ÖNEMİ VE KULLANIMI,NA,ResearchGate (hosted copy),NA,C YALÇIN,NA,"Enerji, insanoğlunun temel ihtiyaçlarını karşılaması için en önemli unsurlardan biridir. Artan nüfus ile beraber ilerleyen teknoloji, insanların daha çok enerjiye ihtiyaç duymasına sebep …",NA,NA,NA,NA,C YALÇIN - researchgate.net,2022,"Enerji, insanoğlunun temel ihtiyaçlarını karşılaması için en önemli unsurlardan biridir. Artan nüfus ile beraber ilerleyen teknoloji, insanların daha çok enerjiye ihtiyaç duymasına sebep …",https://www.researchgate.net/profile/Cihan-Yalcin-3/publication/361073492_YENI_NESIL_ENERJI_KAYNAKLARINDA_GRAFITIN_ONEMI_VE_KULLANIMI/links/629a610e6886635d5cbbb3aa/YENI-NESIL-ENERJI-KAYNAKLARINDA-GRAFITIN-OeNEMI-VE-KULLANIMI.pdf,17,FromColumns,NA,"YALÇIN, C.",,,ResearchGate,609,2,"Yalcin, Cihan","Translated title, removed existing author and added new author, added child_year_guess"
19,https://scholar.archive.org/work/n2ylqmajqneh7f24p4mbxgvggq/access/wayback/https://dggs.alaska.gov/webpubs/dggs/ri/text/ri2021_005e.pdf,CHAPTER E: GEOCHEMISTRY OF THE IGNEOUS ROCKS IN THE LADUE RIVER-MOUNT FAIRPLAY AREA,NA,NA,CHAPTER E: GEOCHEMISTRY OF THE IGNEOUS ROCKS IN THE LADUE RIVER-MOUNT FAIRPLAY AREA,NA,Alaska Division of Geological & Geophysical Surveys,2019,A Wypych,NA,"During the 2019 summer field season, geologists from the Alaska Division of Geological & Geophysical Surveys (DGGS) carried out a geologic mapping and geochemical sampling …",NA,NA,NA,NA,A Wypych - scholar.archive.org,2021,"During the 2019 summer field season, geologists from the Alaska Division of Geological & Geophysical Surveys (DGGS) carried out a geologic mapping and geochemical sampling …",https://scholar.archive.org/work/n2ylqmajqneh7f24p4mbxgvggq/access/wayback/https://dggs.alaska.gov/webpubs/dggs/ri/text/ri2021_005e.pdf,6; 5,FromColumns,NA,"Wypych, A.",1267,"Wypych, Alicja",Alaska Division of Geological & Geophysical Surveys,617,19; 12,,added child_year_guess
20,https://www.researchgate.net/profile/Kurt-Kraal/publication/392027533_SANDIA_REPORT_Basin_Range_Investigations_for_Developing_Geothermal_Energy/links/6830ed7a6b5a287c304410ed/SANDIA-REPORT-Basin-Range-Investigations-for-Developing-Geothermal-Energy.pdf,Basin & Range Investigations for Developing Geothermal Energy,NA,NA,Basin & Range Investigations for Developing Geothermal Energy,NA,ResearchGate (hosted copy),2025,C Downs; C Winn; K Kraal; M Folsom; P Schwering,"Sandia National Laboratories (SNL-NM), Albuquerque, NM (United States); Pacific Northwest National Laboratory; Geologica Geothermal Group; Naval Facilities Engineering Command Southwest; Austrailis Geoscience Ltd.; Cumming Geoscience",Hidden geothermal systems represent a potentially prolific energy resource that could support critical US public and government energy priorities. Basin and Range Investigations …,NA,NA,NA,NA,"C Downs, C Winn, K Kraal, M Folsom, P Schwering… - researchgate.net",2025,Hidden geothermal systems represent a potentially prolific energy resource that could support critical US public and government energy priorities. Basin and Range Investigations …,https://www.researchgate.net/profile/Kurt-Kraal/publication/392027533_SANDIA_REPORT_Basin_Range_Investigations_for_Developing_Geothermal_Energy/links/6830ed7a6b5a287c304410ed/SANDIA-REPORT-Basin-Range-Investigations-for-Developing-Geothermal-Energy.pdf,2,FromColumns,10.2172/2540220,"Downs, C.; Winn, C.; Kraal, K.; Folsom, M.; Schwering, P.",303; 1254; 653; 373; 1044,"Downs, C.; Winn, C.; Kraal, K.; Folsom, M.; Schwering, P.",ResearchGate,619,41,"Hinz, Nick; Zimmerman, Jade; Sewell, Steven; Cumming, William B; Milton, Alex; Sabin, Andrew; Lopeman, Janice",added child_year_guess & 7 new authors
21,https://scholar.archive.org/work/abvfrsqin5dxrd2kcpl37v5cou/access/wayback/https://dggs.alaska.gov/webpubs/dggs/ri/text/ri2021_005.pdf,"GEOLOGIC INVESTIGATION OF THE LADUE RIVER-MOUNT FAIRPLAY AREA, EASTERN ALASKA",NA,NA,"GEOLOGIC INVESTIGATION OF THE LADUE RIVER-MOUNT FAIRPLAY AREA, EASTERN ALASKA",NA,Alaska Division of Geological & Geophysical Surveys,NA,E Twelker,NA,"The Mineral Resources section of the Alaska Division of Geological & Geophysical Surveys (DGGS) conducted bedrock geologic mapping of a 4,800-sq-km (1,860-sq-mi) area of …",NA,NA,NA,NA,E Twelker - scholar.archive.org,2021,"The Mineral Resources section of the Alaska Division of Geological & Geophysical Surveys (DGGS) conducted bedrock geologic mapping of a 4,800-sq-km (1,860-sq-mi) area of …",https://scholar.archive.org/work/abvfrsqin5dxrd2kcpl37v5cou/access/wayback/https://dggs.alaska.gov/webpubs/dggs/ri/text/ri2021_005.pdf,6,FromColumns,NA,"Twelker, E.",1178,"Twelker, Evan",Alaska Division of Geological & Geophysical Surveys,620,12,,added child_year_guess
22,https://dggs.alaska.gov/webpubs/dggs/ri/text/ri2021_005a.pdf,"CHAPTER A: BEDROCK GEOLOGIC MAP OF THE LADUE RIVER-MOUNT FAIRPLAY AREA, TANACROSS AND NABESNA QUADRANGLES, ALASKA",NA,NA,"Bedrock Geologic Map of the Ladue River-Mount Fairplay Area, Tanacross and Nabesna Quadrangles, Alaska",NA,NA,2021,"Evan Twelker (Alaska Division of Geological & Geophysical Surveys); Rainer J. Newberry (Department of Geosciences, University of Alaska); Alicja Wypych (Alaska Division of Geological & Geophysical Surveys); Travis J. Naibert (Alaska Division of Geological & Geophysical Surveys); Alec D. Wildland (Alaska Division of Geological & Geophysical Surveys); Karri R. Sicard (Alaska Division of Geological & Geophysical Surveys); Sean P. Regan (Department of Geosciences, University of Alaska); Jennifer E. Athey (Alaska Division of Geological & Geophysical Surveys); W. Chris Wyatt (Alaska Division of Geological & Geophysical Surveys); Julian A. Lopez (Colorado College, Department of Geology)","Alaska Division of Geological & Geophysical Surveys; Department of Geosciences, University of Alaska; Colorado College, Department of Geology","The Mineral Resources section of the Alaska Division of Geological & Geophysical Surveys (DGGS) conducted bedrock geologic mapping of a 4,800-sq-km (1,860-sq-mi) area of eastern Interior Alaska including Mount Fairplay and the Ladue River drainage. The area lies north of the Alaska Highway and is approximately 65 km (40 mi) east of Tok, Alaska; it runs west from the Alaska-Yukon border to encompass the Taylor Highway. DGGS and the U.S. Geological Survey (USGS) staff identified this area as having potential to host deposits of critical minerals, including rare earth elements (REE), uranium, niobium, zirconium, tin, tungsten, bismuth, and rhenium, as well as conventional mineral resources including gold, copper, molybdenum, lead, zinc, and silver.",bedrock geology; geologic mapping; critical minerals; Alaska; geochemistry,NA,"Ladue River-Mount Fairplay area, Tanacross and Nabesna quadrangles, Alaska",helicopter-supported fieldwork; U-Pb zircon age analyses; 40Ar/39Ar age analyses; whole-rock analyses; handheld X-ray fluorescence (XRF) analyses; airborne magnetic surveys; magnetic-electromagnetic surveys,"E Twelker, RJ Newberry, A Wypych, TJ Naibert… - dggs.alaska.gov",2021,"The Mineral Resources section of the Alaska Division of Geological & Geophysical Surveys (DGGS) conducted bedrock geologic mapping of a 4,800-sq-km (1,860-sq-mi) area of …",https://dggs.alaska.gov/webpubs/dggs/ri/text/ri2021_005a.pdf,7; 5,URL:pdf,NA,"Twelker, E. v. a. n.; Newberry, R. J.; Wypych, A. l. i. c. j. a.; Naibert, T. J.; Wildland, A. D.; Sicard, K. R.; Regan, S. P.; Athey, J. E.; Wyatt, W. C.; Lopez, J. A.",1178; 864; 1267; 859; 1241; 1071; 986; 58; 1266; 707,"Twelker, Evan; Newberry, Rainer J.; Wypych, Alicja; Naibert, Travis J.; Wildland, Alec D.; Sicard, Karri R.; Regan, Sean P.; Athey, Jennifer E.; Wyatt, W. Chris; Lopez, Julian A.",Alaska Division of Geological & Geophysical Surveys,621,12; 11,,added child_year_guess
23,https://dggs.alaska.gov/webpubs/dggs/ri/text/ri2021_005b.pdf,CHAPTER B: METAMORPHISM OF THE LADUE RIVER-MOUNT FAIRPLAY AREA,NA,NA,Metamorphism of the Ladue River-Mount Fairplay Area,NA,NA,2021,"R.J. Newberry (Department of Geosciences, University of Alaska); Evan Twelker (Alaska Division of Geological & Geophysical Surveys)","Department of Geosciences, University of Alaska; Alaska Division of Geological & Geophysical Surveys","The purpose of this chapter is to describe the metamorphism of each map unit, specifically as it relates to the practical exercise of identifying and mapping the fundamental metamorphic assemblages in the study area.; The metamorphic rocks of the Ladue River-Mount Fairplay study area comprise several assemblages or groups of units that can be distinguished based on differences in their peak metamorphic grade. These include: greenschist-facies ultramafic rocks and the rocks assigned to the Klondike assemblage; lower amphibolite-facies rocks of the Ladue River unit; and upper amphibolite-facies rocks of the Lake George assemblage and Jarvis belt.",NA,State of Alaska; U.S. Geological Survey’s Earth Mapping Resources Initiative,"Ladue River-Mount Fairplay area, Alaska",thin section petrography; electron probe microanalysis; energy dispersive spectroscopy,"RJ Newberry, E Twelker - dggs.alaska.gov",2021,The metamorphic rocks of the Ladue River-Mount Fairplay study area comprise several assemblages or groups of units (fig. 1) that can be distinguished based on differences in …,https://dggs.alaska.gov/webpubs/dggs/ri/text/ri2021_005b.pdf,8,URL:pdf,NA,"Newberry, R. J.; Twelker, E. v. a. n.",864; 1178,"Newberry, Rainer J.; Twelker, Evan",Alaska Division of Geological & Geophysical Surveys,622,12; 11,,added child_year_guess
24,https://dggs.alaska.gov/webpubs/dggs/pir/text/pir2020_001.pdf,THE MOUNT FAIRPLAY IGNEOUS COMPLEX,NA,NA,The Mount Fairplay igneous complex,Preliminary Interpretive Report,Alaska Division of Geological & Geophysical Surveys,2020,"Rainer J. Newberry (Department of Geology & Geophysics, University of Alaska)","Department of Geology & Geophysics, University of Alaska","The Mount Fairplay igneous complex is an approximately 24-square-kilometer (9-square-mile) intrusive body located in eastern Interior Alaska. The complex is latest Cretaceous (ca. 67 Ma) in age and consists of two recognized intrusive suites or groups: (1) an alkalic group comprising quartz-poor lithologies (monzonite, syenite, alkali-feldspar syenite) and (2) a slightly younger, sub-alkalic group comprising quartz-rich lithologies (granite and quartz monzonite). Ilmenite and magnetite compositions of the alkalic rocks indicate magmatic oxidation states in the vicinity of the fayalite-quartz-magnetite (FQM) buffer; in contrast, data for the quartz-rich suite indicates conditions much more oxidized than the FQM buffer. Both groups typically contain diopsidic clinopyroxene, biotite, and amphibole, and the most mafic of the alkalic group contains olivine or iddingsite. Microprobe studies show that amphibole, biotite, and feldspar compositions vary according to both primary magmatic and secondary, post-magmatic processes or alteration.",Mount Fairplay; igneous complex; alkalic rocks; sub-alkalic rocks; rare earth elements; hydrothermal alteration,NA,eastern Interior Alaska,"major-, minor-, and trace-element analyses; examination of thin sections; Energy-dispersive electron probe microanalysis (EDS-EPMA)",RJ Newberry - dggs.alaska.gov,2020,ABSTRACT The Mount Fairplay igneous complex is an approximately 24-square-kilometer (9-square-mile) intrusive body located in eastern Interior Alaska. The complex is latest …,https://dggs.alaska.gov/webpubs/dggs/pir/text/pir2020_001.pdf,9,URL:pdf,http://doi.org/10.14509/30463,"Newberry, R. J.",864,"Newberry, Rainer J.",Alaska Division of Geological & Geophysical Surveys,623,12,,added child_year_guess
25,https://www.researchgate.net/profile/Richard-Hofer-2/publication/393805387_Analysis_of_electric_propulsion_propellant_type_for_crewed_Mars_missions/links/687c35264f72461c714f6c3b/Analysis-of-electric-propulsion-propellant-type-for-crewed-Mars-missions.pdf,ANALYSIS OF ELECTRIC PROPULSION PROPELLANT TYPE FOR CREWED MARS MISSIONS,NA,NA,ANALYSIS OF ELECTRIC PROPULSION PROPELLANT TYPE FOR CREWED MARS MISSIONS,NA,ResearchGate (hosted copy),NA,W Hurley; J Simmonds; R Hofer,NA,"An analysis of alternative Hall thruster propellants to xenon for a crewed Mars mission using nuclear electric/chemical propulsion is performed. Xenon, the preferred propellant when …",NA,NA,NA,NA,"W Hurley, J Simmonds, R Hofer - researchgate.net",2025,"An analysis of alternative Hall thruster propellants to xenon for a crewed Mars mission using nuclear electric/chemical propulsion is performed. Xenon, the preferred propellant when …",https://www.researchgate.net/profile/Richard-Hofer-2/publication/393805387_Analysis_of_electric_propulsion_propellant_type_for_crewed_Mars_missions/links/687c35264f72461c714f6c3b/Analysis-of-electric-propulsion-propellant-type-for-crewed-Mars-missions.pdf,8,FromColumns,NA,"Hurley, W.; Simmonds, J.; Hofer, R.",539; 1077; 504,"Hurley, W.; Simmonds, J.; Hofer, R.",ResearchGate,647,17,,added child_year_guess
26,https://www.researchgate.net/profile/Bethany-Royce/publication/385098171_Regional_Investigation_of_Rare_Earth_Element-Enriched_Underclay_Deposits_in_the_Central_and_Eastern_United_States_an_Earth_Mapping_Resources_Initiative_Earth_MRIGeochemical_Reconnaissance_Study/links/6716644bd796f96b8ec4f317/Regional-Investigation-of-Rare-Earth-Element-Enriched-Underclay-Deposits-in-the-Central-and-Eastern-United-States-an-Earth-Mapping-Resources-Initiative-Earth-MRIGeochemical-Reconnaissance-Study.pdf,REGIONAL INVESTIGATION OF RARE EARTH ELEMENT-ENRICHED UNDERCLAY DEPOSITS IN THE CENTRAL AND EASTERN UNITED STATES: an Earth Mapping Resources Initative (Earth MRI) Geochemical Reconnaissance Study,NA,NA,REGIONAL INVESTIGATION OF RARE EARTH ELEMENT-ENRICHED UNDERCLAY DEPOSITS IN THE CENTRAL AND EASTERN UNITED STATES,NA,ResearchGate (hosted copy),NA,GD ROYCE JR; W ANDREWS; C EBLE; S BROWN,NA,Abstract The United States Geological Survey (USGS) Earth Mapping Resources Initiative (Earth MRI) works to identify mineralized areas or deposits across the United States that host …,NA,NA,NA,NA,"GD ROYCE JR, W ANDREWS, C EBLE, S BROWN - researchgate.net",2024,Abstract The United States Geological Survey (USGS) Earth Mapping Resources Initiative (Earth MRI) works to identify mineralized areas or deposits across the United States that host …,https://www.researchgate.net/profile/Bethany-Royce/publication/385098171_Regional_Investigation_of_Rare_Earth_Element-Enriched_Underclay_Deposits_in_the_Central_and_Eastern_United_States_an_Earth_Mapping_Resources_Initiative_Earth_MRIGeochemical_Reconnaissance_Study/links/6716644bd796f96b8ec4f317/Regional-Investigation-of-Rare-Earth-Element-Enriched-Underclay-Deposits-in-the-Central-and-Eastern-United-States-an-Earth-Mapping-Resources-Initiative-Earth-MRIGeochemical-Reconnaissance-Study.pdf,12,FromColumns,NA,"JR, GD ROYCE; Andrews, W.; EBLE, C.; BROWN, S.",820; 43; 318; 166; 462; 1011; 591,"Moore, Jessica; Andrews, W.; Eble, Cortland; Brown, S E; Hanna, Heather; Royce, Bethany; Jr, Gary Daft",ResearchGate,658,4,,"Removed author 592 (Jr, G R Robinson) which seems to be substituted for author 1011 (Royce, Bethany). Added author 1011, 820 (Moore, Jessica), 462 (Hanna, Heather), 591 (Jr, Gary Daft); added child_year_guess"
27,https://www.mbmg.mtech.edu/pdf-publications/fs7.pdf,Critical Commodity Research in Western Montana,NA,NA,Critical Commodity Research in Western Montana,NA,NA,2023,Kaleb Scarberry; Kyle Eastman,Montana Bureau of Mines and Geology; Montana State University; Montana Tech,"Prospectors in Montana have long recognized the association between metallic mineral deposits and crystalline igneous rocks. Modern exploration is now driven by the demand for domestic sources of the critical commodities needed for high-tech applications, the green economy, and national security. The Montana Bureau of Mines and Geology (MBMG) is actively partnering with the U.S. Geological Survey (USGS) in projects that aim to improve the understanding of critical commodity occurrences throughout western Montana and the shared border with Idaho.",critical commodities; geologic mapping; data preservation; mineral resources; Montana; critical commodities; Montana; geologic mapping; data preservation; mineral resources,U.S. Geological Survey,Western Montana,geologic mapping; data preservation; geophysical surveys; collaboration with students; geologic mapping; data preservation; geophysical surveys,"K Scarberry, K Eastman - mbmg.mtech.edu",2023,"Prospectors in Montana have long recognized the association between metallic mineral deposits and crystalline igneous rocks. Gold strikes at Grasshopper Creek (1862), Alder …",https://www.mbmg.mtech.edu/pdf-publications/fs7.pdf,17,URL:pdf,10.59691/HJEG3534,"Scarberry, K. a. l. e. b.; Eastman, K. y. l. e.",1031; 316,"Scarberry, Kaleb; Eastman, K A",NA,662,4,,Fixed Title and added child_year_guess
28,https://dggs.alaska.gov/webpubs/dggs/ri/text/ri2020_009d.pdf,CHAPTER D: STRUCTURAL GEOLOGY OBSERVATIONS IN NORTHEAST TANACROSS,NA,NA,Structural Geology Observations in Northeast Tanacross,NA,NA,2020,"Travis J. Naibert (Alaska Division of Geological & Geophysical Surveys, 3354 College Rd., Fairbanks, Alaska 99709-3707)",Alaska Division of Geological & Geophysical Surveys,NA,NA,NA,northeast Tanacross map area,measurements of joint planes; minor faults; dikes; foliation and schistosity planes; mineral and crenulation lineations; fold axes; field observations; topography interpretation; satellite imagery analysis; geophysical surveys interpretation,TJ Naibert - dggs.alaska.gov,2021,"Structure orientations were measured at 951 stations in the northeast Tanacross map area, including measurements of joint planes, minor faults, dikes, foliation and schistosity planes …",https://dggs.alaska.gov/webpubs/dggs/ri/text/ri2020_009d.pdf,9,URL:pdf,NA,"Naibert, T. J.",859,"Naibert, Travis J.",Alaska Division of Geological & Geophysical Surveys,667,11,,added child_year_guess
