"","check.accents","Notes","replacement","author_id","author_name","canonical_key","extra","last_name","first_name","middle_name"
"63",NA,"",NA,57,"Athar, M F","athar|m",NA,"Athar","M","F"
"64",NA,"",NA,58,"Athey, Jennifer E.","athey|je",NA,"Athey","Jennifer","E"
"65",NA,"",NA,1519,"Aune, Ragnhild",NA,NA,"Aune","Ragnhild",NA
"66",NA,"",NA,61,"Avirett, Dylan F.","avirett|df",NA,"Avirett","Dylan","F"
"67",NA,"",NA,62,"Awuah-Offei, K.","awuahoffei|k",NA,"Awuah-Offei","K",NA
"68",NA,"",NA,63,"Ayuso, R A","ayuso|r",NA,"Ayuso","R","A"
"69",NA,"",NA,65,"Azifa, A.","azifa|a",NA,"Azifa","A",NA
"70",NA,"",NA,66,"Azmi, Ulul","azmi|u",NA,"Azmi","Ulul",NA
"71",NA,"",NA,67,"Babaei, F.","babaei|f",NA,"Babaei","F",NA
"72",NA,"",NA,68,"Babaie, H A","babaie|h",NA,"Babaie","H","A"
"73",NA,"",NA,69,"Babel, H R","babel|h",NA,"Babel","H","R"
"74",NA,"",NA,71,"Bai, Y.","bai|y",NA,"Bai","Y",NA
"75",NA,"",NA,70,"Bailey, R T","bailey|r",NA,"Bailey","R","T"
"76",NA,"",NA,72,"Bajnai, D.","bajnai|d",NA,"Bajnai","D",NA
"77",NA,"",NA,73,"Bajo-Walker, B.","bajowalker|b",NA,"Bajo-Walker","B",NA
"78",NA,"",NA,74,"Bak, Seong-Min","bak|s",NA,"Bak","Seong-Min",NA
"79",NA,"",NA,1679,"Bang, Minkyu",NA,NA,"Bang","Minkyu",NA
"80",NA,"",NA,76,"Banta, Joshua A.","banta|ja",NA,"Banta","Joshua","A"
"81",NA,"",NA,77,"Barker, I R","barker|i",NA,"Barker","I","R"
"82",NA,"",NA,79,"Barnes, A M","barnes|a",NA,"Barnes","A","M"
"83",NA,"",NA,1487,"Barnet, James S.K.",NA,NA,"Barnet","James","SK"
"84",NA,"",NA,80,"Barnett, A R","barnett|a",NA,"Barnett","A","R"
"85",NA,"",NA,81,"Baron, J.","baron|j",NA,"Baron","J",NA
"86",NA,"",NA,82,"Baron, Thierry","baron|t",NA,"Baron","Thierry",NA
"87",NA,"",NA,83,"Barrera, Michael L.","barrera|ml",NA,"Barrera","Michael","L"
"88",NA,"",NA,84,"Barriga, F J A S","barriga|f",NA,"Barriga","F","J A S"
"89",NA,"",NA,1673,"Barton, Isabel",NA,NA,"Barton","Isabel",NA
"90",NA,"",NA,85,"Barton, M D","barton|m",NA,"Barton","M","D"
"91",NA,"",NA,86,"Bartsch, W.","bartsch|w",NA,"Bartsch","W",NA
"92",NA,"",NA,1353,"Bassan, Lucas",NA,NA,"Bassan","Lucas",NA
"93",NA,"",NA,87,"Bastrakov, E.","bastrakov|e",NA,"Bastrakov","E",NA
"94",NA,"",NA,1399,"Batapola, N. M.",NA,NA,"Batapola","N","M"
"95",NA,"",NA,1639,"Batchu, Rakesh",NA,NA,"Batchu","Rakesh",NA
"96",NA,"",NA,88,"Bazilian, M D","bazilian|m",NA,"Bazilian","M","D"
"97",NA,"",NA,1453,"Bean, A.",NA,NA,"Bean","A",NA
"98",NA,"",NA,91,"Beck, F M","beck|f",NA,"Beck","F","M"
"99",NA,"",NA,89,"Becker, Naomi Ann","becker|na",NA,"Becker","Naomi","Ann"
"100",NA,"",NA,1737,"Beckers, Koenraad F.",NA,NA,"Beckers","Koenraad","F"
"101",NA,"",NA,90,"Beckwith","beckwith|",NA,"Beckwith",NA,NA
"102",NA,"",NA,92,"Bednar, A J","bednar|a",NA,"Bednar","A","J"
"103",NA,"",NA,93,"Bedrosian, Paul A.","bedrosian|pa",NA,"Bedrosian","Paul","A"
"104",NA,"",NA,94,"Belcher, B R","belcher|b",NA,"Belcher","B","R"
"105",NA,"",NA,1433,"Belharouak, Ilias",NA,NA,"Belharouak","Ilias",NA
"106",NA,"",NA,95,"Belitz, K.","belitz|k",NA,"Belitz","K",NA
"107",NA,"",NA,1720,"Bellefeuille, Nathan A.",NA,NA,"Bellefeuille","Nathan","A"
"108",NA,"",NA,97,"Benavides, E.","benavides|e",NA,"Benavides","E",NA
"109",NA,"",NA,99,"Bennett, Michael","bennett|m",NA,"Bennett","Michael",NA
"110",NA,"",NA,100,"Bennett, S E K","bennett|s",NA,"Bennett","S","E K"
"111",NA,"",NA,102,"Bentley, Matthew J.","bentley|mj",NA,"Bentley","Matthew","J"
"112",NA,"",NA,103,"Benton, J R","benton|j",NA,"Benton","J","R"
"113",NA,"",NA,104,"Berg, R C","berg|r",NA,"Berg","R","C"
"114",NA,"",NA,105,"Berhe, A A","berhe|a",NA,"Berhe","A","A"
"115",NA,"",NA,107,"Bern, C R","bern|c",NA,"Bern","C","R"
"116",NA,"",NA,106,"Bernard, Curtis M.","bernard|cm",NA,"Bernard","Curtis","M"
"117",NA,"",NA,108,"Berry, M E","berry|m",NA,"Berry","M","E"
"118",NA,"",NA,109,"Beunk, Frank F.","beunk|ff",NA,"Beunk","Frank","F"
"119",NA,"",NA,1462,"Beutler, Curtis",NA,NA,"Beutler","Curtis",NA
"120",NA,"",NA,110,"Beyene, M T","beyene|m",NA,"Beyene","M","T"
"121",NA,"",NA,112,"Beyer, Rebecca","beyer|r",NA,"Beyer","Rebecca",NA
"122",NA,"",NA,111,"Beyers, S.","beyers|s",NA,"Beyers","S",NA
"123",NA,"",NA,1678,"Bharadwaj, Bishal",NA,NA,"Bharadwaj","Bishal",NA
"124",NA,"",NA,113,"Bhaskar, A S","bhaskar|a",NA,"Bhaskar","A","S"
"125",NA,"",NA,114,"Bhattacharjee, Shubhadeep","bhattacharjee|s",NA,"Bhattacharjee","Shubhadeep",NA
"126",NA,"",NA,115,"Bhuwalka, K.","bhuwalka|k",NA,"Bhuwalka","K",NA
"127",NA,"",NA,118,"Bilham, R.","bilham|r",NA,"Bilham","R",NA
"128",NA,"",NA,119,"Binnemans, Koen","binnemans|k",NA,"Binnemans","Koen",NA
"129",NA,"",NA,1411,"Birke, Kai Peter",NA,NA,"Birke","Kai","Peter"
"130",NA,"NT, Delay is the author of works cited, and the only use of this ID is missing author Bixby, so I just substituted it here",NA,881,"Bixby, Rebecca J.","nt|d",NA,"Bixby","Rebecca","J"
"131",NA,"",NA,121,"Bjarke, N R","bjarke|n",NA,"Bjarke","N","R"
"132",NA,"",NA,122,"Blackwell, Noel J S","blackwell|nj",NA,"Blackwell","Noel","J S"
"133",NA,"Fixed to be last,first (completed first name)",NA,578,"Blake, Johanna M.","jm|b",NA,"Blake","Johanna","M"
"134",NA,"",NA,124,"Blankenship, L N","blankenship|l",NA,"Blankenship","L","N"
"135",NA,"",NA,126,"Bleeker, W.","bleeker|w",NA,"Bleeker","W",NA
"136",NA,"",NA,127,"Blome, C D","blome|c",NA,"Blome","C","D"
"137",NA,"",NA,128,"Blondes, M S","blondes|m",NA,"Blondes","M","S"
"138",NA,"",NA,129,"Bloss, B R","bloss|b",NA,"Bloss","B","R"
"139",NA,"",NA,1419,"Boakes, Lizzie",NA,NA,"Boakes","Lizzie",NA
"140",NA,"",NA,130,"Board, D I","board|d",NA,"Board","D","I"
"141",NA,"",NA,131,"Bode, A.","bode|a",NA,"Bode","A",NA
"142",NA,"",NA,132,"Bodnar, R J","bodnar|r",NA,"Bodnar","R","J"
"143",NA,"",NA,133,"Boozarjomehry, R B","boozarjomehry|r",NA,"Boozarjomehry","R","B"
"144",NA,"",NA,134,"Borchardt, J S","borchardt|j",NA,"Borchardt","J","S"
"145",NA,"",NA,135,"Bourdeau, J E","bourdeau|j",NA,"Bourdeau","J","E"
"146",NA,"",NA,136,"Bouton, Anthony","bouton|a",NA,"Bouton","Anthony",NA
"147",NA,"",NA,137,"Boutt, D F","boutt|d",NA,"Boutt","D","F"
"148",NA,"",NA,1616,"Bowker, Matthew A.",NA,NA,"Bowker","Matthew","A"
"149",NA,"",NA,139,"Bowman, R L","bowman|r",NA,"Bowman","R","L"
"150",NA,"",NA,141,"Box, S E","box|s",NA,"Box","S","E"
"151",NA,"",NA,140,"Boxleiter, A.","boxleiter|a",NA,"Boxleiter","A",NA
"152",NA,"",NA,142,"Boyce, A J","boyce|a",NA,"Boyce","A","J"
"153",NA,"",NA,143,"Boyd, O S","boyd|o",NA,"Boyd","O","S"
"154",NA,"",NA,145,"Bradley, D C","bradley|d",NA,"Bradley","D","C"
"155",NA,"",NA,146,"Brahney, J.","brahney|j",NA,"Brahney","J",NA
"156",NA,"",NA,147,"Brake, S S","brake|s",NA,"Brake","S","S"
"157",NA,"",NA,150,"Brantley, S L","brantley|s",NA,"Brantley","S","L"
"158",NA,"",NA,1615,"Brayard, Arnaud",NA,NA,"Brayard","Arnaud",NA
"159",NA,"",NA,151,"Breasley, C M","breasley|c",NA,"Breasley","C","M"
"160",NA,"",NA,152,"Brennan, D T","brennan|d",NA,"Brennan","D","T"
"161",NA,"",NA,153,"Brennan, S.","brennan|s",NA,"Brennan","S",NA
"162",NA,"",NA,154,"Brewer, S K","brewer|s",NA,"Brewer","S","K"
"163",NA,"",NA,155,"Brickey, T A","brickey|t",NA,"Brickey","T","A"
"164",NA,"",NA,156,"Briggs, M A","briggs|m",NA,"Briggs","M","A"
"165",NA,"",NA,157,"Briscoe, Seattle","briscoe|s",NA,"Briscoe","Seattle",NA
"166",NA,"",NA,158,"Britt, A F","britt|a",NA,"Britt","A","F"
"167",NA,"",NA,159,"Broadbent, Ashley","broadbent|a",NA,"Broadbent","Ashley",NA
"168",NA,"",NA,1355,"Broadhead, Ron",NA,NA,"Broadhead","Ron",NA
"169",NA,"",NA,1600,"Brolly, Connor",NA,NA,"Brolly","Connor",NA
"170",NA,"",NA,160,"Brouillon, J.","brouillon|j",NA,"Brouillon","J",NA
"171",NA,"",NA,162,"Brown, C J","brown|c",NA,"Brown","C","J"
"172",NA,"Fixed to be last,first (completed first name)",NA,572,"Brown, Jeb E.","je|b",NA,"Brown","Jeb","E"
"173",NA,"",NA,164,"Brown, Jessica","brown|j",NA,"Brown","Jessica",NA
"174",NA,"",NA,1739,"Brown, Larry",NA,NA,"Brown","Larry",NA
"175",NA,"",NA,166,"Brown, S E","brown|s",NA,"Brown","S","E"
"176",NA,"",NA,1461,"Brown, Wendy",NA,NA,"Brown","Wendy",NA
"177",NA,"",NA,167,"Bruckard, W.","bruckard|w",NA,"Bruckard","W",NA
"178",NA,"",NA,1474,"Brugger, Joel",NA,NA,"Brugger","Joel",NA
"179",NA,"",NA,1659,"Brunner, Benjamin",NA,NA,"Brunner","Benjamin",NA
"180",NA,"",NA,168,"Brzozowski, M J","brzozowski|m",NA,"Brzozowski","M","J"
"181",NA,"",NA,1567,"Buarque-Andrade, Laura",NA,NA,"Buarque-Andrade","Laura",NA
"182",NA,"",NA,1526,"Bucci, Francesco",NA,NA,"Bucci","Francesco",NA
"183",NA,"",NA,171,"Buck, B J","buck|b",NA,"Buck","B","J"
"184",NA,"",NA,172,"Buddington, A.","buddington|a",NA,"Buddington","A",NA
"185",NA,"Moved organizational title to 'extra' and out of last, first, & middle",NA,1585,"Buffalo Bayou Hurricane Hike",NA,"Buffalo Bayou Hurricane Hike",NA,NA,NA
"186",NA,"",NA,173,"Burheim, O S","burheim|o",NA,"Burheim","O","S"
"187",NA,"",NA,174,"Burnett, M.","burnett|m",NA,"Burnett","M",NA
"188",NA,"",NA,175,"Burpee, B T","burpee|b",NA,"Burpee","B","T"
"189",NA,"Moved Van Den to extra",NA,1499,"Bussche, Ronald A. Van Den",NA,"Van Den","Bussche","Ronald","A"
"190",NA,"",NA,1609,"Bylund, Kevin G.",NA,NA,"Bylund","Kevin","G"
"191",NA,"",NA,1601,"Byrne, Robert H.",NA,NA,"Byrne","Robert","H"
"192",NA,"",NA,1377,"Caine, Jonathan Saul",NA,NA,"Caine","Jonathan","Saul"
"193",NA,"",NA,1430,"Calder, W. John",NA,NA,"Calder","W","John"
"194",NA,"",NA,178,"Calvo, J A M","calvo|j",NA,"Calvo","J","A M"
"195",1,"This is an accented a. No seeming duplicates",NA,179,"Campanaro, João Felipe","campanaro|jf",NA,"Campanaro","João","Felipe"
"196",NA,"",NA,180,"Campbell, Kate M.","campbell|km",NA,"Campbell","Kate","M"
"197",1,"This is an accented a. No seeming duplicates",NA,181,"Campoe, Otávio C.","campoe|oc",NA,"Campoe","Otávio","C"
"198",NA,"",NA,182,"Campos, D S De","campos|dd","De","Campos","D","S"
"199",NA,"",NA,183,"Canfield, D E","canfield|d",NA,"Canfield","D","E"
"200",NA,"",NA,184,"Canham, H A","canham|h",NA,"Canham","H","A"
"201",NA,"",NA,185,"Cannon, W F","cannon|w",NA,"Cannon","W","F"
"202",NA,"",NA,186,"Carey, Nathan J.","carey|nj",NA,"Carey","Nathan","J"
"203",NA,"",NA,187,"Carlson, S M","carlson|s",NA,"Carlson","S","M"
"204",NA,"",NA,188,"Carroll, R W H","carroll|r",NA,"Carroll","R","W H"
"205",NA,"",NA,189,"Carter, David R.","carter|dr",NA,"Carter","David","R"
"206",NA,"",NA,191,"Case, George N. D.","case|gnd",NA,"Case","George","N D"
"207",NA,"",NA,190,"Casey, C P","casey|c",NA,"Casey","C","P"
"208",NA,"",NA,1717,"Celebi, Hasan F.",NA,NA,"Celebi","Hasan","F"
"209",NA,"",NA,192,"Champion, D.","champion|d",NA,"Champion","D",NA
"210",NA,"",NA,1401,"Chan, Andy",NA,NA,"Chan","Andy",NA
"211",NA,"",NA,1599,"Chandler, Val W.",NA,NA,"Chandler","Val","W"
"212",NA,"",NA,1387,"Chang, Hao",NA,NA,"Chang","Hao",NA
"213",NA,"",NA,193,"Chapman, M C","chapman|m",NA,"Chapman","M","C"
"214",NA,"",NA,194,"Chappell, W T","chappell|w",NA,"Chappell","W","T"
"215",NA,"",NA,1613,"Charbonnier, Sylvain",NA,NA,"Charbonnier","Sylvain",NA
"216",NA,"Moved Werner from middle name to 'extra'",NA,195,"Chase, Brandon Franklin Werner","chase|bfw","Werner","Chase","Brandon","Franklin"
"217",NA,"",NA,196,"Chatterjee, S.","chatterjee|s",NA,"Chatterjee","S",NA
"218",NA,"",NA,197,"Chellam, Shankararaman","chellam|s",NA,"Chellam","Shankararaman",NA
"219",NA,"",NA,198,"Chellman, K.","chellman|k",NA,"Chellman","K",NA
"220",NA,"Fixed out of uppecase",NA,1546,"Chen, Lihua",NA,NA,"Chen","Lihua",NA
"221",NA,"Fixed out of uppecase",NA,1541,"Chen, Liyang",NA,NA,"Chen","Liyang",NA
"222",NA,"Fixed out of uppecase",NA,1547,"Chen, Weiqiang",NA,NA,"Chen","Weiqiang",NA
"223",NA,"",NA,200,"Chen, Y L","chen|y",NA,"Chen","Y","L"
"224",NA,"",NA,199,"Cheng, Y.","cheng|y",NA,"Cheng","Y",NA
"225",NA,"",NA,201,"Cherrat, A.","cherrat|a",NA,"Cherrat","A",NA
"226",NA,"",NA,202,"Chiang, W P","chiang|w",NA,"Chiang","W","P"
"227",NA,"",NA,203,"Chiarenzelli, J R","chiarenzelli|j",NA,"Chiarenzelli","J","R"
"228",NA,"",NA,204,"Chileen, B V","chileen|b",NA,"Chileen","B","V"
"229",NA,"",NA,205,"Chilton, K D","chilton|k",NA,"Chilton","K","D"
"230",NA,"",NA,206,"Chipangamate, N.","chipangamate|n",NA,"Chipangamate","N",NA
"231",NA,"",NA,1635,"Cho, Seong-Jun",NA,NA,"Cho","Seong-Jun",NA
"232",NA,"",NA,208,"Choat, B.","choat|b",NA,"Choat","B",NA
"233",NA,"",NA,209,"Choi, S K","choi|s",NA,"Choi","S","K"
"234",NA,"",NA,1696,"Choma, Nicole",NA,NA,"Choma","Nicole",NA
"235",NA,"",NA,210,"Chormann, F H","chormann|f",NA,"Chormann","F","H"
"236",NA,"",NA,211,"Christensen, J N","christensen|j",NA,"Christensen","J","N"
"237",NA,"",NA,1434,"Christianson, Kyle R.",NA,NA,"Christianson","Kyle","R"
"238",NA,"",NA,212,"Christofferson, K.","christofferson|k",NA,"Christofferson","K",NA
"239",NA,"",NA,215,"Chu, P.","chu|p",NA,"Chu","P",NA
"240",NA,"",NA,213,"Chuah, Stephanie","chuah|s",NA,"Chuah","Stephanie",NA
"241",NA,"",NA,1359,"Chuang, Lindsay Y.",NA,NA,"Chuang","Lindsay","Y"
"242",NA,"",NA,214,"Churchwell, D.","churchwell|d",NA,"Churchwell","D",NA
"243",NA,"",NA,216,"Ciampaglio, C.","ciampaglio|c",NA,"Ciampaglio","C",NA
"244",NA,"",NA,217,"Cicek, Z.","cicek|z",NA,"Cicek","Z",NA
"245",NA,"",NA,218,"Clark, M.","clark|m",NA,"Clark","M",NA
"246",NA,"",NA,219,"Clary, R M","clary|r",NA,"Clary","R","M"
"247",NA,"",NA,220,"Cleveland, K. Michael","cleveland|km",NA,"Cleveland","K","Michael"
"248",NA,"",NA,221,"Clifford, M J","clifford|m",NA,"Clifford","M","J"
"249",NA,"",NA,222,"Clune, J W","clune|j",NA,"Clune","J","W"
"250",NA,"",NA,224,"Cohen, B S","cohen|b",NA,"Cohen","B","S"
"251",NA,"",NA,225,"Coleman, Drew S.","coleman|ds",NA,"Coleman","Drew","S"
"252",NA,"",NA,226,"Colgan, J.","colgan|j",NA,"Colgan","J",NA
"253",NA,"",NA,227,"Collar, Natalie M.","collar|nm",NA,"Collar","Natalie","M"
"254",NA,"",NA,228,"Comans, C M","comans|c",NA,"Comans","C","M"
"255",NA,"",NA,231,"Cook, Rachel L.","cook|rl",NA,"Cook","Rachel","L"
"256",NA,"",NA,1539,"Cool, Vincent",NA,NA,"Cool","Vincent",NA
"257",NA,"Added First name & initials since it was just the last name",NA,232,"Coons, Aaron L.","coons|",NA,"Coons","Aaron","L"
"258",NA,"",NA,233,"Coplen, T B","coplen|t",NA,"Coplen","T","B"
"259",NA,"",NA,234,"Copler, C.","copler|c",NA,"Copler","C",NA
"260",NA,"",NA,236,"Corchado-Albelo, J L","corchadoalbelo|j",NA,"Corchado-Albelo","J","L"
"261",NA,"",NA,237,"Corral, F J G","corral|f",NA,"Corral","F","J G"
"262",NA,"",NA,238,"Corriveau, L.","corriveau|l",NA,"Corriveau","L",NA
"263",NA,"",NA,239,"Cothren, H R","cothren|h",NA,"Cothren","H","R"
"264",1,"This is an accented e. No seeming duplicates",NA,242,"Couëslan, C G","couslan|c",NA,"Couëslan","C","G"
"265",NA,"",NA,240,"Coube-Sisqueille, S.","coubesisqueille|s",NA,"Coube-Sisqueille","S",NA
"266",NA,"",NA,241,"Counts, J W","counts|j",NA,"Counts","J","W"
"267",NA,"",NA,1405,"Cousens, B. L.",NA,NA,"Cousens","B","L"
"268",NA,"",NA,244,"Cox, I A","cox|i",NA,"Cox","I","A"
"269",NA,"",NA,245,"Cox, Jordan T.","cox|jt",NA,"Cox","Jordan","T"
"270",NA,"",NA,246,"Coyan, J A","coyan|j",NA,"Coyan","J","A"
"271",NA,"",NA,247,"Craddock, W H","craddock|w",NA,"Craddock","W","H"
"272",NA,"",NA,248,"Crafford, T.","crafford|t",NA,"Crafford","T",NA
"273",NA,"Fixed to be last, first III",NA,548,"Cravotta, C A  III","iii|cc","III","Cravotta","C","A"
"274",NA,"",NA,249,"Crawford, J K","crawford|j",NA,"Crawford","J","K"
"275",NA,"",NA,250,"Creason, C G","creason|c",NA,"Creason","C","G"
"276",NA,"",NA,1497,"Creighton, Jerre L.",NA,NA,"Creighton","Jerre","L"
"277",NA,"",NA,1422,"Croes, Kristof",NA,NA,"Croes","Kristof",NA
"278",NA,"",NA,252,"Crowley, C W","crowley|c",NA,"Crowley","C","W"
"279",NA,"",NA,251,"Crowley-Ornelas, E.","crowleyornelas|e",NA,"Crowley-Ornelas","E",NA
"280",NA,"",NA,1699,"Csank, Adam",NA,NA,"Csank","Adam",NA
"281",NA,"",NA,1704,"Cui, Yifei",NA,NA,"Cui","Yifei",NA
"282",NA,"",NA,1590,"Cumming, William B",NA,NA,"Cumming","William","B"
"283",NA,"",NA,254,"Curl, Douglas C.","curl|dc",NA,"Curl","Douglas","C"
"284",NA,"",NA,255,"Currie, D.","currie|d",NA,"Currie","D",NA
"285",NA,"",NA,1649,"Cushing, Paula E.",NA,NA,"Cushing","Paula","E"
"286",NA,"",NA,256,"Cushway, K C","cushway|k",NA,"Cushway","K","C"
"287",NA,"",NA,257,"Czarnota, K.","czarnota|k",NA,"Czarnota","K",NA
"288",1,"This is an accented i. Updated with completed first and middle names from name without accent, and updated that row to be replaced with this author_id",NA,272,"Díaz, Xiomara Cazanas","daz|x",NA,"Díaz","Xiomara","Cazanas"
"289",1,"This is an accented i and an accented e, no seeming duplicates",NA,271,"Díaz-Gutiérrez, E.","dazgutirrez|e",NA,"Díaz-Gutiérrez","E",NA
"290",NA,"",NA,1674,"Dae-yong, Kim",NA,NA,"Dae-yong","Kim",NA
"291",NA,"Fixed to be last, first jr",NA,591,"Daft, Gary Jr","jr|gd","Jr","Daft","Gary",NA
"292",NA,"",NA,258,"Dahlin, K M","dahlin|k",NA,"Dahlin","K","M"
"293",NA,"",NA,259,"Dahm, K.","dahm|k",NA,"Dahm","K",NA
"294",NA,"",NA,260,"Dai, Q.","dai|q",NA,"Dai","Q",NA
"295",NA,"Moved 'Lal' to extra",NA,1728,"Das, Aman Kumar Lal",NA,"Lal","Das","Aman","Kumar"
"296",NA,"",NA,262,"Das, S.","das|s",NA,"Das","S",NA
"297",NA,"",NA,1565,"Daspan, Raymond Ishaya",NA,NA,"Daspan","Raymond","Ishaya"
"298",NA,"",NA,263,"Dattilo, J.","dattilo|j",NA,"Dattilo","J",NA
"299",NA,"",NA,264,"Davarpanah, A.","davarpanah|a",NA,"Davarpanah","A",NA
