"pub_id","Year","Publisher","Title","Authors","Author_IDs","Publication_Link","Cited_By","Cited_By_Link","X_LLM_Title","X_LLM_Journal","X_LLM_Publisher","X_LLM_Year","X_LLM_Authors","X_LLM_Affiliations","X_LLM_Abstract","X_LLM_Keywords","X_LLM_Funders","X_LLM_Study_Area","X_LLM_Methods","child_authors_and_venue","child_snippet","child_pdf_link","child_position","X_LLM_SourceUsed","X_LLM_DOI","X_LLM_Authors_Clean","parent_pub_id"
329,2022,"Elsevier","Initiation and evolution of coarse-grained deposits in the Late Quaternary Lake Chenghai source-to-sink system: From subaqueous colluvial apron …","Dong, D T; Qiu, L W; Ma, P J; Yu, G D; Wang, Y Z","297; 964; 767; 1297; 1216","https://www.sciencedirect.com/science/article/pii/S2095383622000347",4,"https://scholar.google.com/scholar?cites=11698377514130817924&as_sdt=5,43&sciodt=0,43&hl=en&num=20","Initiation and evolution of coarse-grained deposits in the Late Quaternary Lake Chenghai source-to-sink system: From subaqueous colluvial apron …",NA,"Elsevier",2022,"DT Dong; LW Qiu; PJ Ma; GD Yu; YZ Wang","China University of Petroleum, East China; Sinopec (China); CCCC Highway Consultants (China)","Investigating the formation and evolution of coarse-grained deposits in modern lakes and the relevant controlling conditions is indispensable to the prediction of reservoir sandbodies …",NA,NA,NA,NA,"DT Dong, LW Qiu, PJ Ma, GD Yu, YZ Wang… - Journal of …, 2022 - Elsevier","Investigating the formation and evolution of coarse-grained deposits in modern lakes and the relevant controlling conditions is indispensable to the prediction of reservoir sandbodies …",NA,"1","FromColumns","10.1016/j.jop.2022.03.006","Dong, D. T.; Qiu, L. W.; Ma, P. J.; Yu, G. D.; Wang, Y. Z.","1"
330,2021,"ProQuest","Distribution, abundance, occupancy, and microhabitat use of the Striated Darter (Etheostoma striatulum) in the Duck River","Holsopple, A R","509","https://search.proquest.com/openview/0dfd25f26f61c63956cdce2be0be2963/1?pq-origsite=gscholar&cbl=18750&diss=y",4,"https://scholar.google.com/scholar?cites=2893609575725857563&as_sdt=5,43&sciodt=0,43&hl=en&num=20","Distribution, abundance, occupancy, and microhabitat use of the Striated Darter (Etheostoma striatulum) in the Duck River",NA,"ProQuest (aggregator)",2021,"AR Holsopple",NA,"Abstract The Striated Darter (Etheostoma striatulum) is a species endemic to the Duck River system in Tennessee that is listed as state threatened and currently under review for federal …",NA,NA,NA,NA,"AR Holsopple - 2021 - search.proquest.com","Abstract The Striated Darter (Etheostoma striatulum) is a species endemic to the Duck River system in Tennessee that is listed as state threatened and currently under review for federal …",NA,"5","FromColumns",NA,"Holsopple, A. R.","1"
331,2020,"ProQuest","Inventory of Rock Glaciers in the American West and Their Topography and Climate","Trcka, A R","1170","https://search.proquest.com/openview/627f6dee97525512ac24e9860c84aa98/1?pq-origsite=gscholar&cbl=18750&diss=y",4,"https://scholar.google.com/scholar?cites=11783172425413101214&as_sdt=5,43&sciodt=0,43&hl=en&num=20","Inventory of Rock Glaciers in the American West and Their Topography and Climate",NA,"ProQuest (aggregator)",2020,"AR Trcka",NA,"Rock glaciers are flowing geomorphic landforms composed of an ice/debris mixture. A uniform rock glacier classification scheme was created for the western continental US …",NA,NA,NA,NA,"AR Trcka - 2020 - search.proquest.com","Rock glaciers are flowing geomorphic landforms composed of an ice/debris mixture. A uniform rock glacier classification scheme was created for the western continental US …","https://pdxscholar.library.pdx.edu/cgi/viewcontent.cgi?article=6710&context=open_access_etds","8","FromColumns","10.15760/etd.7509","Trcka, A. R.","1"
333,2018,"GeoScienceWorld","Cerro Verde-Santa Rosa Copper-Molybdenum Deposits, Peru: Magmatic, Hydrothermal, and Supergene Characteristics of Two Adjacent Porphyry Systems","Stegen, R J; Barton, M D; Waegli, J A","1109; 85; 1206","https://pubs.geoscienceworld.org/segweb/books/edited-volume/2132/chapter/116400246",4,"https://scholar.google.com/scholar?cites=14894839915217145173&as_sdt=5,44&sciodt=0,44&hl=en&num=20","Cerro Verde-Santa Rosa Copper-Molybdenum Deposits, Peru: Magmatic, Hydrothermal, and Supergene Characteristics of Two Adjacent Porphyry Systems",NA,"GeoScienceWorld",2018,"RJ Stegen; MD Barton; JA Waegli","1Freeport-McMoRan Exploration, 10861 North Mavinee Road, Tucson, Arizona 85737; 2Department of Geosciences and Lowell Institute for Mineral Resources, 1040 East Fourth Street, University of Arizona, Tucson, Arizona 85721","Abstract At the Cerro Verde district in southern Peru, granodiorite porphyry stocks formed two adjacent porphyry copper-molybdenum deposits that collectively form one of the largest …",NA,NA,NA,NA,"RJ Stegen, MD Barton, JA Waegli - 2018 - pubs.geoscienceworld.org","Abstract At the Cerro Verde district in southern Peru, granodiorite porphyry stocks formed two adjacent porphyry copper-molybdenum deposits that collectively form one of the largest …",NA,"14","FromColumns","10.5382/sp.21.13","Stegen, R. J.; Barton, M. D.; Waegli, J. A.","2"
334,2021,NA,"Mineralogical and geochemical characteristics of graphite-bearing rocks at Chenjere Area, south-eastern Tanzania: Implications for the nature and quality of graphite …","Moye, C D","837","https://www.ajol.info/index.php/tjs/article/view/207036",4,"https://scholar.google.com/scholar?cites=6289962097927053763&as_sdt=5,44&sciodt=0,44&hl=en&num=20","Mineralogical and Geochemical Characteristics of Graphite-Bearing Rocks at Chenjere Area",NA,NA,NA,"CD Moye, MM Msabi",NA,"This study focused on the mineralogical and geochemical characteristics of graphite-bearing rocks at Chenjere area by conducting surface geological mapping, geochemical and petrographical analyses with the intention of characterizing the nature of graphite occurrence in these lithological units. This paper presents results of the flake size, grade and mineralization extension of graphite in the graphitic gneiss. Field observations, petrographic investigation and comparison with other studies indicate that graphite occurrence at the Chenjere area is of sedimentary origin which fall under syngenetic type. The petrographic study revealed that nature of metamorphism of rocks in the Chenjere area is of high grade (amphibolite facies). Both field observations and petrographic studies indicate that minerals in the rock associated with graphite include quartz, feldspar (mostly K-feldspar) and biotite. Further, the mineralized zones are concordant to the rest of the lithologies of the area and biotite gneiss is forming the hangingwall and footwall. The rocks’ foliation is generally NE striking and dipping SE with the dip amount ranging from 30 to 60 degrees. The graphite mineralization at the study area occurs as medium to coarse grained crystalline, flake type graphite with long axis of up to 1000 micrometres in size. Graphite flakes are disseminated and oriented in the host rock that represents a normal metamorphic fabric. Geochemical results indicate that graphite contents in the host graphitic gneiss range from 3.03 wt.% to 16.00 wt.%. Mineralogy and texture of the graphite at Chenjere area meet the standards required for industrial applications in various advanced technologies.","Graphite Mineralization; Flake Graphite; Chenjere Area",NA,"Chenjere area","surface geological mapping; geochemical analyses; petrographical analyses","CD Moye, MM Msabi - Tanzania Journal of Science, 2021 - ajol.info","This study focused on the mineralogical and geochemical characteristics of graphite-bearing rocks at Chenjere area by conducting surface geological mapping, geochemical and …","https://www.ajol.info/index.php/tjs/article/view/207036/195200","13","URL:html",NA,"CD Moye, MM Msabi","2"
335,2021,"Office of Scientific and Technical Information","Towards A Geo-Data Science Method for Assessing Rare Earth Element and Critical Mineral Occurrences in Coal and Other Sedimentary Systems","Creason, C G; Montross, S N; Justman, D M","250; 819; 598","https://www.osti.gov/biblio/1809028",4,"https://scholar.google.com/scholar?cites=1506160324454652847&as_sdt=2005&sciodt=0,5&hl=en&num=20","Towards A Geo-Data Science Method for Assessing Rare Earth Element and Critical Mineral Occurrences in Coal and Other Sedimentary Systems",NA,"www.osti.gov",2021,"CG Creason; SN Montross; DM Justman","National Energy Technology Lab. (NETL), Albany, OR (United States)","While preliminary analyses of data from open-source resources (Ekmann, 2012) show promising concentrations of REE in individual coal samples from a number of sites and …",NA,NA,"United States",NA,"CG Creason, SN Montross, DM Justman… - 2021 - osti.gov","While preliminary analyses of data from open-source resources (Ekmann, 2012) show promising concentrations of REE in individual coal samples from a number of sites and …","https://www.osti.gov/servlets/purl/1809028","7","FromColumns",NA,"Creason, C. G.; Montross, S. N.; Justman, D. M.","8"
336,2023,"Society of Economic Geologists, Inc.","Genesis of the Questa Mo porphyry deposit and nearby polymetallic mineralization, New Mexico, USA","Gaynor, Sean P.; Rosera, Joshua M.; Coleman, Drew S.","404; 1008; 225","https://pubs.geoscienceworld.org/segweb/economicgeology/article-abstract/118/6/1319/621457",4,"https://scholar.google.com/scholar?cites=12083264996080024882&as_sdt=5,44&sciodt=0,44&hl=en&num=20","Genesis of the Questa Mo Porphyry Deposit and Nearby Polymetallic Mineralization, New Mexico, USA","Economic Geology","Society of Economic Geologists, Inc.",2023,"Sean P. Gaynor (Department of Earth, Marine and Environmental Sciences, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27510, USA); Joshua M. Rosera (U.S. Geological Survey, Geology, Energy & Minerals Science Center, Reston, Virginia 20192, USA); Drew S. Coleman (Department of Earth, Marine and Environmental Sciences, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27510, USA)","Department of Earth, Marine and Environmental Sciences, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27510, USA; Department of Earth Sciences, University of Geneva, 13, Rue des Maraîchers, Geneva 1205, Switzerland; U.S. Geological Survey, Geology, Energy & Minerals Science Center, Reston, Virginia 20192, USA","The Oligocene Latir magmatic center in northern New Mexico is an exceptionally well-exposed volcano-plutonic complex that hosts a variety of magmatic-hydrothermal deposits, ranging from relatively deep, F-rich porphyry Mo mineralization to shallower epithermal deposits. We present new whole-rock chemical and isotopic data for plutonic rocks from the Latir magmatic center, including extensive sampling of drill core samples of intrusive rocks from the Questa porphyry Mo deposit. These data document temporal chemical trends of porphyry-related mineralization that occurred after caldera-forming magmatism and during postcaldera batholith assembly. Silicic magmas were generated multiple times throughout the history of the Latir magmatic center, but few are associated with the formation of a mineral deposit. Whole-rock trace element ratios and Sr, Nd, and Pb isotope compositions vary throughout the protracted history of silicic magmatism. The Questa porphyry Mo deposit formed immediately after the most isotopically primitive phase of the batholith was assembled, ruling out simple reworking of juvenile mantle-derived crust as the source for mineralizing magmas. Rhyolite dikes associated with polymetallic sulfide deposits intruded ~800 k.y. after Mo mineralization, and Nd isotope data indicate that these dikes are associated with different batches of magma and are unrelated to the Mo-mineralizing intrusions at the Questa mine. Together, these data indicate that the source of magmas changed significantly throughout the 10-m.y. history of the magmatic center. We assess multiple genetic models for porphyry-related magmatism against this data set, favoring models with discrete periods of magma genesis from a deep hybridized zone in the lower crust giving rise to the punctuated periods of mineralization.; The Oligocene Latir magmatic center in northern New Mexico is an exceptionally well-exposed volcano-plutonic complex that hosts a variety of magmatic-hydrothermal deposits, ranging from relatively deep, F-rich porphyry Mo mineralization to shallower epithermal deposits. We present new whole-rock chemical and isotopic data for plutonic rocks from the Latir magmatic center, including extensive sampling of drill core samples of intrusive rocks from the Questa porphyry Mo deposit. These data document temporal chemical trends of porphyry-related mineralization that occurred after caldera-forming magmatism and during postcaldera batholith assembly. Silicic magmas were generated multiple times throughout the history of the Latir magmatic center, but few are associated with the formation of a mineral deposit. Whole-rock trace element ratios and Sr, Nd, and Pb isotope compositions vary throughout the protracted history of silicic magmatism. The caldera-forming ignimbrite and early phase of postcaldera intrusions are unmineralized, more enriched in high field strength elements, and generally contain less radiogenic Sr and Pb and more radiogenic Nd than later intrusions. The Questa porphyry Mo deposit formed immediately after the most isotopically primitive phase of the batholith was assembled, ruling out simple reworking of juvenile mantle-derived crust as the source for mineralizing magmas. Rhyolite dikes associated with polymetallic sulfide deposits intruded ~800 k.y. after Mo mineralization, and Nd isotope data indicate that these dikes are associated with different batches of magma and are unrelated to the Mo-mineralizing intrusions at the Questa mine. Together, these data indicate that the source of magmas changed significantly throughout the 10-m.y. history of the magmatic center. We assess multiple genetic models for porphyry-related magmatism against this data set, favoring models with discrete periods of magma genesis from a deep hybridized zone in the lower crust giving rise to the punctuated periods of mineralization. These observations suggest that the formation of mineral deposits within a central magmatic locus is likely the result of the piecemeal assembly of individual hydrothermal-magmatic systems, and that distal and younger polymetallic mineralization commonly observed near known porphyry deposits represents decoupled processes.",NA,NA,"New Mexico, USA","whole-rock chemical analysis; isotopic data collection; drill core sampling; whole-rock chemical analysis; isotopic data collection; extensive sampling of drill core samples","SP Gaynor, JM Rosera… - Economic Geology, 2023 - pubs.geoscienceworld.org","Abstract The Oligocene Latir magmatic center in northern New Mexico is an exceptionally well exposed volcano-plutonic complex that hosts a variety of magmatic-hydrothermal …","https://par.nsf.gov/servlets/purl/10445666","16","URL:fetch_error | ALT:pdf","10.5382/econgeo.5011","Gaynor, S. P.; Rosera, J. M.; Coleman, Drew S.","4"
337,2021,"MDPI","Beryl Reference Materials for In Situ Oxygen Isotope Determination","Ling, X.; Li, Q.; Feng, L.; Zhang, D.; Liu, Y.; Tang, G.; Jones, James V. III; Wu, S.","686; 701; 355; 1304; 695; 1139; 550; 1263","https://www.mdpi.com/2073-4352/11/11/1322",4,"https://scholar.google.com/scholar?cites=6584545545340400836&as_sdt=400005&sciodt=0,14&hl=en&num=20","Beryl Reference Materials for In Situ Oxygen Isotope Determination",NA,"MDPI",2021,"X Ling; Q Li; L Feng; D Zhang; Y Liu; G Tang; J Li; S Wu","State Key Laboratory of Lithospheric Evolution, Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing 100029, China; Innovation Academy for Earth Science, Chinese Academy of Sciences, Beijing 100029, China; College of Earth and Planetary Sciences, University of Chinese Academy of Sciences, Beijing 100049, China; Institute of Geology, Chinese Academy of Geological Sciences, Beijing 100037, China; Evje og Hornnes Geomuseum Fennefoss, Postboks 24, N-4748 Rysstad, Norway","The mineral beryl (Be3Al2 (SiO3) 6) has the most abundant phase with industrial value for extracting a critical metal—beryllium. Due to multi-stage, fluid-induced growth, individual …",NA,NA,NA,NA,"X Ling, Q Li, L Feng, D Zhang, Y Liu, G Tang, J Li, S Wu… - Crystals, 2021 - mdpi.com","The mineral beryl (Be3Al2 (SiO3) 6) has the most abundant phase with industrial value for extracting a critical metal—beryllium. Due to multi-stage, fluid-induced growth, individual …",NA,"5","FromColumns","10.3390/cryst11111322","Ling, X.; Li, Q.; Feng, L.; Zhang, D.; Liu, Y.; Tang, G.; Li, J.; Wu, S.","4"
338,2024,"Elsevier","Geothermal play fairway analysis, part 2: GIS methodology","DeAngelo, J.; Shervais, J W; Glen, Jonathan M G; Nielson, D.; Garg, S.","274; 1063; 421; 872; 398","https://www.sciencedirect.com/science/article/pii/S0375650523002377",3,"https://scholar.google.com/scholar?cites=4848700135236822520&as_sdt=5,44&sciodt=0,44&hl=en&num=20","Geothermal play fairway analysis, part 2: GIS methodology",NA,"Elsevier",2024,"J DeAngelo; JW Shervais; JM Glen; D Nielson; S Garg","United States Geological Survey; Utah State University; DOSECC Exploration Services (United States); Lawrence Berkeley National Laboratory; Boise State University","Abstract Play Fairway Analysis (PFA) in geothermal exploration originates from a systematic methodology developed within the petroleum industry and is based on a geologic …",NA,NA,"Snake River Plain volcanic province in southern Idaho","Expert guided Play Fairway Analysis; automated data evidence accounting; individual and combined data products creation","J DeAngelo, JW Shervais, JM Glen, D Nielson, S Garg… - Geothermics, 2024 - Elsevier","Abstract Play Fairway Analysis (PFA) in geothermal exploration originates from a systematic methodology developed within the petroleum industry and is based on a geologic …","https://www.sciencedirect.com/science/article/am/pii/S0375650523002377","4","FromColumns","10.1016/j.geothermics.2023.102882","DeAngelo, J.; Shervais, J. W.; Glen, J. M.; Nielson, D.; Garg, S.","10"
339,2024,"American Chemical Society","Intersection of wildfire and legacy mining poses risks to water quality","Murphy, S F; Blake, Johanna M.; Ebel, B A","849; 578; 317","https://pubs.acs.org/doi/abs/10.1021/acs.est.4c09489",3,"https://scholar.google.com/scholar?cites=1751278650637307448&as_sdt=5,31&sciodt=0,31&hl=en&num=20","Intersection of wildfire and legacy mining poses risks to water quality",NA,"American Chemical Society (ACS)",2024,"SF Murphy; JM Blake; BA Ebel","U.S. Geological Survey, Water Resources Mission Area, 3215 Marine Street, Boulder, Colorado 80303, United States; U.S. Geological Survey, New Mexico Water Science Center, 6700 Edith Blvd. NE, Albuquerque, New Mexico 87113, United States; U.S. Geological Survey, Water Resources Mission Area, Burlington, Vermont 05482, United States","Mining and wildfires are both landscape disturbances that pose elevated and substantial hazards to water supplies and ecosystems due to increased erosion and transport of …",NA,NA,NA,NA,"SF Murphy, JM Blake, BA Ebel… - Environmental Science & …, 2024 - ACS Publications","Mining and wildfires are both landscape disturbances that pose elevated and substantial hazards to water supplies and ecosystems due to increased erosion and transport of …","https://pubs.acs.org/doi/pdf/10.1021/acs.est.4c09489","2","FromColumns","10.1021/acs.est.4c09489","Murphy, S. F.; Blake, J. M.; Ebel, B. A.","30"
341,2019,NA,"China Does Not Want a Trade War: The Case for Rare Earth Elements","Erdey, László; Fenyves, Veronika; Márkus, Ádám; Tőkés, Tibor","332; 356; 838; 1162","https://dea.lib.unideb.hu/bitstreams/9c29e545-cfdf-4d1e-abb2-1cd11331912e/download",3,"https://scholar.google.com/scholar?cites=12115664792226149466&as_sdt=5,44&sciodt=0,44&hl=en&num=20","China Does Not Want a Trade War – The Case for Rare Earth Elements","Polgári Szemle",NA,2019,"László Erdey (University of Debrecen); Veronika Fenyves (University of Debrecen); Ádám Márkus (University of Debrecen); Tibor Tőkés (University of Debrecen)","University of Debrecen","The aim of this paper is to evaluate China’s growing geopolitical importance through a brief overview and an analysis of the US-Chinese relations after World War II. After a brief historical insight into the US trade policy, the most probable theoretical explanations leading to a U-turn in trade relations with most of the world are summed up. Thirdly, we aim to revaluate China’s geopolitical weight in light of the recent trade war, and finally further sophisticate the analysis through a case study of the market of rare earth metals and compounds. The conclusion is drawn that we might be approaching a new milestone in the hegemonic transfer but we have certainly not yet arrived at a turning point.","hegemony; trade war; USA; China; rare earth elements",NA,NA,NA,"L Erdey, V Fenyves, Á Márkus, T Tőkés - 2019 - dea.lib.unideb.hu","The aim of this paper is to evaluate China's growing geopolitical importance through a brief overview and an analysis of the US-Chinese relations after World War II. After a brief …","https://dea.lib.unideb.hu/bitstreams/9c29e545-cfdf-4d1e-abb2-1cd11331912e/download","19","URL:pdf","10.24307/psz.2019.1218","Erdey, László; Fenyves, V. e. r. o. n. i. k. a.; Márkus, Ádám; Tőkés, T. i. b. o. r.","7"
342,2025,"Elsevier","Evolution of eruption rate between two caldera-forming eruptions in the Jemez Mountains volcanic field, New Mexico, USA","Meszaros, Nicholas F.; Zimmerer, Mathew; Gardner, James E.","788; 1320; 395","https://www.sciencedirect.com/science/article/pii/S0377027324002099",3,"https://scholar.google.com/scholar?cites=7972021894755616691&as_sdt=5,33&sciodt=0,33&hl=en&num=20","Evolution of eruption rate between two caldera-forming eruptions in the Jemez Mountains volcanic field, New Mexico, USA",NA,"Elsevier",2025,"NF Meszaros; MJ Zimmerer; JE Gardner",NA,"Rhyolites that erupted between the Otowi and Tshirege members of the Bandelier Tuff, known as the Valle Toledo Member, were investigated in the Jemez Mountains volcanic field …",NA,NA,NA,NA,"NF Meszaros, MJ Zimmerer, JE Gardner - Journal of Volcanology and …, 2025 - Elsevier","Rhyolites that erupted between the Otowi and Tshirege members of the Bandelier Tuff, known as the Valle Toledo Member, were investigated in the Jemez Mountains volcanic field …",NA,"3","FromColumns","10.1016/j.jvolgeores.2024.108216","Meszaros, N. F.; Zimmerer, M. J.; Gardner, J. E.","1"
343,2024,"Wiley","Evaluating the context dependency of large river nursery habitats for fishes in the lower Red River catchment","Ramsey, P Q; Dattilo, J.; DeVries, D R","972; 263; 288","https://onlinelibrary.wiley.com/doi/abs/10.1002/rra.4259",3,"https://scholar.google.com/scholar?cites=4642315595768402837&as_sdt=5,50&sciodt=0,50&hl=en&num=20","Evaluating the context dependency of large river nursery habitats for fishes in the lower Red River catchment",NA,"Wiley",2024,"PQ Ramsey; J Dattilo; DR DeVries","Alabama Cooperative Fish and Wildlife Research Unit Auburn University  Auburn Alabama USA; School of Fisheries, Aquaculture and Aquatic Sciences Auburn University  Auburn Alabama USA; U.S. Geological Survey Alabama Cooperative Fish and Wildlife Research Unit  Auburn Alabama USA","Both fine‐and coarse‐scale physicochemical conditions affect the quantity and quality of nursery habitats within riverine ecosystems. Nursery habitats in large, braided, and sandbed …",NA,NA,NA,NA,"PQ Ramsey, J Dattilo, DR DeVries… - River Research and …, 2024 - Wiley Online Library","Both fine‐and coarse‐scale physicochemical conditions affect the quantity and quality of nursery habitats within riverine ecosystems. Nursery habitats in large, braided, and sandbed …","https://www.researchgate.net/profile/Paul-Ramsey/publication/378848788_Evaluating_the_context_dependency_of_large_river_nursery_habitats_for_fishes_in_the_lower_Red_River_catchment/links/65ece22d9ab2af0ef8ac663e/Evaluating-the-context-dependency-of-large-river-nursery-habitats-for-fishes-in-the-lower-Red-River-catchment.pdf","8","FromColumns","10.1002/rra.4259","Ramsey, P. Q.; Dattilo, J.; DeVries, D. R.","1"
344,2023,"Oxford University Press","Ten thousand years of magma storage preceding the last caldera-forming eruption of the Bandelier magmatic system, New Mexico, USA","Meszaros, Nicholas F.; Gardner, James E.; Zimmerer, Mathew","788; 395; 1320","https://academic.oup.com/petrology/article-abstract/64/10/egad067/7263248",3,"https://scholar.google.com/scholar?cites=3715500648484328728&as_sdt=5,50&sciodt=0,50&hl=en&num=20","Ten thousand years of magma storage preceding the last caldera-forming eruption of the Bandelier magmatic system, New Mexico, USA",NA,"Oxford University Press (OUP)",2023,"NF Meszaros; JE Gardner; MJ Zimmerer","The University of Texas at Austin Department of Earth and Planetary Sciences, Jackson School of Geosciences, , Austin, TX, 78712-1692, USA; New Mexico Bureau of Geology and Mineral Resources , New Mexico Institute of Mining and Technology, Socorro, NM 87801, USA","In this study, we present new evidence for changes in magma storage conditions that preceded the 1232 ka caldera-forming eruption of the Bandelier magmatic system in the …",NA,NA,NA,NA,"NF Meszaros, JE Gardner, MJ Zimmerer… - Journal of …, 2023 - academic.oup.com","In this study, we present new evidence for changes in magma storage conditions that preceded the 1232 ka caldera-forming eruption of the Bandelier magmatic system in the …",NA,"17","FromColumns","10.1093/petrology/egad067","Meszaros, N. F.; Gardner, J. E.; Zimmerer, M. J.","1"
345,2024,"American Geophysical Union","Predicting Streamflow Duration From Crowd‐Sourced Flow Observations","Peterson, Dean M.; Kampf, S.","928; 605","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2023WR035093",3,"https://scholar.google.com/scholar?cites=14581767602190771774&as_sdt=5,32&sciodt=0,32&hl=en&num=20","Predicting Streamflow Duration From Crowd‐Sourced Flow Observations",NA,"American Geophysical Union (via Wiley)",2024,"DA Peterson; SK Kampf","Department of Ecosystem Science and Sustainability Colorado State University  Fort Collins CO USA; Now at San Francisco Estuary Institute  Richmond CA USA; United States Forest Service National Stream and Aquatic Ecology Center  Fort Collins CO USA; Kansas Geological Survey University of Kansas  Lawrence KS USA","Streamflow duration is important for aquatic ecosystems and assigning stream protection status. This study predicts streamflow duration, represented as the fraction of time with flow …",NA,NA,NA,NA,"DA Peterson, SK Kampf… - Water Resources …, 2024 - Wiley Online Library","Streamflow duration is important for aquatic ecosystems and assigning stream protection status. This study predicts streamflow duration, represented as the fraction of time with flow …","https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2023WR035093","1","FromColumns","10.1029/2023WR035093","Peterson, D. A.; Kampf, S. K.","1"
346,2023,"ProQuest","The Economic and Health Effects of Indoor Radon","Watkins, L.","1222","https://search.proquest.com/openview/dbb100ac7113a402ec8708519279a404/1?pq-origsite=gscholar&cbl=18750&diss=y",3,"https://scholar.google.com/scholar?cites=9657647237503350923&as_sdt=5,40&sciodt=0,40&hl=en&num=20","The Economic and Health Effects of Indoor Radon",NA,"ProQuest (aggregator)",2023,"L Watkins",NA,"Radon, a radioactive noble gas, ranks as the second leading cause of lung cancer. A data-generating process model is constructed to capture the underlying factors driving indoor …",NA,NA,NA,NA,"L Watkins - 2023 - search.proquest.com","Radon, a radioactive noble gas, ranks as the second leading cause of lung cancer. A data-generating process model is constructed to capture the underlying factors driving indoor …",NA,"3","FromColumns",NA,"Watkins, L.","1"
347,2023,"ProQuest","Nursery Habitat and Hatch Dates of Large River Fishes of the Lower Red River Catchment","Ramsey, P Q","972","https://search.proquest.com/openview/2a9bde95a2ac9832fb111aa92cc09813/1?pq-origsite=gscholar&cbl=18750&diss=y",3,"https://scholar.google.com/scholar?cites=3126426287450237547&as_sdt=5,40&sciodt=0,40&hl=en&num=20","Nursery Habitat and Hatch Dates of Large River Fishes of the Lower Red River Catchment",NA,"ProQuest (aggregator)",2023,"PQ Ramsey",NA,"Many freshwater fishes in North America are of conservation concern. Both fine-and coarse-scale physicochemical conditions affect the quantity and quality of nursery habitat and can …",NA,NA,NA,NA,"PQ Ramsey - 2023 - search.proquest.com","Many freshwater fishes in North America are of conservation concern. Both fine-and coarse-scale physicochemical conditions affect the quantity and quality of nursery habitat and can …","https://etd.auburn.edu/bitstream/handle/10415/8671/Paul_Ramsey_Thesis.pdf?sequence=4","5","FromColumns",NA,"Ramsey, P. Q.","1"
348,2021,NA,"Pliocene origins, Pleistocene refugia, and postglacial range expansions in southern devil scorpions (Vaejovidae: Vaejovis carolinianus)","Graham, Matthew R.; Garcia, Erika L.; Hendrixson, Brent E.; Sampognaro, Alyssa M.; Cushing, Paula E.","1645; 1646; 1647; 1648; 1649","https://link.springer.com/article/10.1007/s13127-021-00505-z",3,"https://scholar.google.com/scholar?cites=7021331870953550331&as_sdt=5,40&sciodt=0,40&hl=en&num=20","Risk Assessment and the Effects of Refuge Availability on the Defensive Behaviors of the Southern Unstriped Scorpion (Vaejovis carolinianus)","Toxins",NA,2020,"D. R. Nelsen; E. M. David; C. N. Harty; J. B. Hector; A. G. Corbit",NA,"This study assesses the defensive behaviors of the Southern Unstriped Scorpion (Vaejovis carolinianus) in relation to the availability of refuge. The findings indicate that refuge availability significantly influences the scorpion's defensive strategies, which may have implications for its survival and management.",NA,NA,NA,NA,"MR Graham, EL Garcia, BE Hendrixson… - Organisms Diversity & …, 2021 - Springer","Abstract The Southern Appalachians and adjacent provinces of the southeastern USA are geologically and biologically diverse, with high levels of endemism. Phylogeographic …",NA,"18","URL:html","10.3390/toxins12060534","Nelsen, D. R.; David, E. M.; Harty, C. N.; Hector, J. B.; Corbit, A. G.","1"
349,2021,"MDPI","Development of riparian and groundwater-dependent ecosystem assessments for National Forests in the Western US","Driscoll, K P; Smith, D M","307; 1086","https://www.mdpi.com/2071-1050/13/8/4488",3,"https://scholar.google.com/scholar?cites=10448081469064518459&as_sdt=5,43&sciodt=0,43&hl=en&num=20","Development of riparian and groundwater-dependent ecosystem assessments for National Forests in the Western US",NA,"MDPI",2021,"KP Driscoll; DM Smith","Rocky Mountain Research Station, USDA Forest Service, Fort Collins, CO 80526, USA","In 2012, the US Department of Agriculture adopted a new planning rule that outlined a process for developing, amending, and revising land management plans for the 155 …",NA,NA,NA,NA,"KP Driscoll, DM Smith - Sustainability, 2021 - mdpi.com","In 2012, the US Department of Agriculture adopted a new planning rule that outlined a process for developing, amending, and revising land management plans for the 155 …",NA,"9","FromColumns","10.3390/su13084488","Driscoll, K. P.; Smith, D. M.","1"
